eta_ratio, gamma_factor,iterations,eta_max,eta_min
10000.000000,0.050000,42087,10.931474841265400,0.0010931474841265400
10000.000000,0.100000,42432,10.931474841265400,0.0010931474841265400
10000.000000,0.200000,37014,10.931474841265400,0.0010931474841265400
10000.000000,0.500000,43747,10.931474841265400,0.0010931474841265400
10000.000000,1.000000,46470,10.931474841265400,0.0010931474841265400
10000.000000,2.000000,56774,10.931474841265400,0.0010931474841265400
10000.000000,5.000000,75449,10.931474841265400,0.0010931474841265400
10000.000000,10.000000,83077,10.931474841265400,0.0010931474841265400
100000.000000,0.010000,106621,10.941056602383700,0.00010941056602383700
100000.000000,0.020000,98785,10.941056602383700,0.00010941056602383700
100000.000000,0.050000,91808,10.941056602383700,0.00010941056602383700
100000.000000,0.100000,91642,10.941056602383700,0.00010941056602383700
100000.000000,0.200000,88611,10.941056602383700,0.00010941056602383700
100000.000000,0.500000,86704,10.941056602383700,0.00010941056602383700
100000.000000,1.000000,88296,10.941056602383700,0.00010941056602383700
100000.000000,2.000000,106196,10.941056602383700,0.00010941056602383700
100000.000000,5.000000,122586,10.941056602383700,0.00010941056602383700
100000.000000,10.000000,129662,10.941056602383700,0.00010941056602383700
1000000.000000,0.010000,252515,10.942015702433200,1.09420157024332E-05
1000000.000000,0.020000,252490,10.942015702433200,1.09420157024332E-05
1000000.000000,0.050000,221474,10.942015702433200,1.09420157024332E-05
1000000.000000,0.100000,179205,10.942015702433200,1.09420157024332E-05
1000000.000000,0.200000,163126,10.942015702433200,1.09420157024332E-05
1000000.000000,0.500000,130864,10.942015702433200,1.09420157024332E-05
1000000.000000,1.000000,138350,10.942015702433200,1.09420157024332E-05
1000000.000000,2.000000,154268,10.942015702433200,1.09420157024332E-05
1000000.000000,5.000000,160140,10.942015702433200,1.09420157024332E-05
1000000.000000,10.000000,168975,10.942015702433200,1.09420157024332E-05
